phase_idx,phase_len,best_off,best_cov,best_cov_ratio,focus_off,focus_cov,focus_cov_ratio,abs_gap,ratio_gap
8,5450,45,5405,0.991743,160,5290,0.970642,115,0.021101
8,5450,45,5405,0.991743,162,5288,0.970275,117,0.021468
8,5450,45,5405,0.991743,240,5210,0.955963,195,0.035780
9,5450,45,5405,0.991743,144,5306,0.973578,99,0.018165
9,5450,45,5405,0.991743,160,5290,0.970642,115,0.021101
9,5450,45,5405,0.991743,162,5288,0.970275,117,0.021468
9,5450,45,5405,0.991743,240,5210,0.955963,195,0.035780
10,5450,45,5405,0.991743,144,5306,0.973578,99,0.018165
10,5450,45,5405,0.991743,160,5290,0.970642,115,0.021101
10,5450,45,5405,0.991743,162,5288,0.970275,117,0.021468
10,5450,45,5405,0.991743,240,5210,0.955963,195,0.035780
11,5450,45,5405,0.991743,144,5306,0.973578,99,0.018165
11,5450,45,5405,0.991743,160,5290,0.970642,115,0.021101
11,5450,45,5405,0.991743,162,5288,0.970275,117,0.021468
11,5450,45,5405,0.991743,240,5210,0.955963,195,0.035780
12,5450,45,5405,0.991743,144,5306,0.973578,99,0.018165
12,5450,45,5405,0.991743,160,5290,0.970642,115,0.021101
12,5450,45,5405,0.991743,162,5288,0.970275,117,0.021468
12,5450,45,5405,0.991743,240,5210,0.955963,195,0.035780
13,5450,45,5405,0.991743,144,5306,0.973578,99,0.018165
13,5450,45,5405,0.991743,160,5290,0.970642,115,0.021101
13,5450,45,5405,0.991743,162,5288,0.970275,117,0.021468
13,5450,45,5405,0.991743,240,5210,0.955963,195,0.035780
14,5450,45,5405,0.991743,144,5306,0.973578,99,0.018165
14,5450,45,5405,0.991743,160,5290,0.970642,115,0.021101
14,5450,45,5405,0.991743,162,5288,0.970275,117,0.021468
14,5450,45,5405,0.991743,240,5210,0.955963,195,0.035780
15,5450,45,5405,0.991743,144,5306,0.973578,99,0.018165
15,5450,45,5405,0.991743,160,5290,0.970642,115,0.021101
15,5450,45,5405,0.991743,162,5288,0.970275,117,0.021468
15,5450,45,5405,0.991743,240,5210,0.955963,195,0.035780
16,5450,45,5405,0.991743,144,5306,0.973578,99,0.018165
16,5450,45,5405,0.991743,160,5290,0.970642,115,0.021101
16,5450,45,5405,0.991743,162,5288,0.970275,117,0.021468
16,5450,45,5405,0.991743,240,5210,0.955963,195,0.035780
17,5450,45,5405,0.991743,144,5306,0.973578,99,0.018165
17,5450,45,5405,0.991743,160,5290,0.970642,115,0.021101
17,5450,45,5405,0.991743,162,5288,0.970275,117,0.021468
17,5450,45,5405,0.991743,240,5210,0.955963,195,0.035780
18,5450,45,5405,0.991743,144,5306,0.973578,99,0.018165
18,5450,45,5405,0.991743,160,5290,0.970642,115,0.021101
18,5450,45,5405,0.991743,162,5288,0.970275,117,0.021468
18,5450,45,5405,0.991743,240,5210,0.955963,195,0.035780
19,5450,45,5405,0.991743,144,5306,0.973578,99,0.018165
19,5450,45,5405,0.991743,160,5290,0.970642,115,0.021101
19,5450,45,5405,0.991743,162,5288,0.970275,117,0.021468
19,5450,45,5405,0.991743,240,5210,0.955963,195,0.035780
20,5450,45,5405,0.991743,144,5306,0.973578,99,0.018165
20,5450,45,5405,0.991743,160,5290,0.970642,115,0.021101
20,5450,45,5405,0.991743,162,5288,0.970275,117,0.021468
20,5450,45,5405,0.991743,240,5210,0.955963,195,0.035780
21,5450,45,5405,0.991743,144,5306,0.973578,99,0.018165
21,5450,45,5405,0.991743,160,5290,0.970642,115,0.021101
21,5450,45,5405,0.991743,162,5288,0.970275,117,0.021468
21,5450,45,5405,0.991743,240,5210,0.955963,195,0.035780
22,5450,45,5405,0.991743,144,5306,0.973578,99,0.018165
22,5450,45,5405,0.991743,160,5290,0.970642,115,0.021101
22,5450,45,5405,0.991743,162,5288,0.970275,117,0.021468
22,5450,45,5405,0.991743,240,5210,0.955963,195,0.035780
23,5450,45,5405,0.991743,144,5306,0.973578,99,0.018165
23,5450,45,5405,0.991743,160,5290,0.970642,115,0.021101
23,5450,45,5405,0.991743,162,5288,0.970275,117,0.021468
23,5450,45,5405,0.991743,240,5210,0.955963,195,0.035780
24,5450,45,5405,0.991743,144,5306,0.973578,99,0.018165
24,5450,45,5405,0.991743,160,5290,0.970642,115,0.021101
24,5450,45,5405,0.991743,162,5288,0.970275,117,0.021468
24,5450,45,5405,0.991743,240,5210,0.955963,195,0.035780
25,5450,45,5405,0.991743,144,5306,0.973578,99,0.018165
25,5450,45,5405,0.991743,160,5290,0.970642,115,0.021101
25,5450,45,5405,0.991743,162,5288,0.970275,117,0.021468
25,5450,45,5405,0.991743,240,5210,0.955963,195,0.035780
26,5450,45,5405,0.991743,144,5306,0.973578,99,0.018165
26,5450,45,5405,0.991743,160,5290,0.970642,115,0.021101
26,5450,45,5405,0.991743,162,5288,0.970275,117,0.021468
26,5450,45,5405,0.991743,240,5210,0.955963,195,0.035780
27,5450,45,5405,0.991743,144,5306,0.973578,99,0.018165
27,5450,45,5405,0.991743,160,5290,0.970642,115,0.021101
27,5450,45,5405,0.991743,162,5288,0.970275,117,0.021468
27,5450,45,5405,0.991743,240,5210,0.955963,195,0.035780
28,5450,45,5405,0.991743,144,5306,0.973578,99,0.018165
28,5450,45,5405,0.991743,160,5290,0.970642,115,0.021101
28,5450,45,5405,0.991743,162,5288,0.970275,117,0.021468
28,5450,45,5405,0.991743,240,5210,0.955963,195,0.035780
29,5450,45,5405,0.991743,144,5306,0.973578,99,0.018165
29,5450,45,5405,0.991743,160,5290,0.970642,115,0.021101
29,5450,45,5405,0.991743,162,5288,0.970275,117,0.021468
29,5450,45,5405,0.991743,240,5210,0.955963,195,0.035780
30,5450,45,5405,0.991743,144,5306,0.973578,99,0.018165
30,5450,45,5405,0.991743,160,5290,0.970642,115,0.021101
30,5450,45,5405,0.991743,162,5288,0.970275,117,0.021468
30,5450,45,5405,0.991743,240,5210,0.955963,195,0.035780
31,5450,45,5405,0.991743,144,5306,0.973578,99,0.018165
31,5450,45,5405,0.991743,160,5290,0.970642,115,0.021101
31,5450,45,5405,0.991743,162,5288,0.970275,117,0.021468
31,5450,45,5405,0.991743,240,5210,0.955963,195,0.035780
32,5450,45,5405,0.991743,144,5306,0.973578,99,0.018165
32,5450,45,5405,0.991743,160,5290,0.970642,115,0.021101
32,5450,45,5405,0.991743,162,5288,0.970275,117,0.021468
32,5450,45,5405,0.991743,240,5210,0.955963,195,0.035780
33,5450,45,5405,0.991743,144,5306,0.973578,99,0.018165
33,5450,45,5405,0.991743,160,5290,0.970642,115,0.021101
33,5450,45,5405,0.991743,162,5288,0.970275,117,0.021468
33,5450,45,5405,0.991743,240,5210,0.955963,195,0.035780
34,5450,45,5405,0.991743,144,5306,0.973578,99,0.018165
34,5450,45,5405,0.991743,160,5290,0.970642,115,0.021101
34,5450,45,5405,0.991743,162,5288,0.970275,117,0.021468
34,5450,45,5405,0.991743,240,5210,0.955963,195,0.035780
35,5450,45,5405,0.991743,144,5306,0.973578,99,0.018165
35,5450,45,5405,0.991743,160,5290,0.970642,115,0.021101
35,5450,45,5405,0.991743,162,5288,0.970275,117,0.021468
35,5450,45,5405,0.991743,240,5210,0.955963,195,0.035780
36,5450,45,5405,0.991743,144,5306,0.973578,99,0.018165
36,5450,45,5405,0.991743,160,5290,0.970642,115,0.021101
36,5450,45,5405,0.991743,162,5288,0.970275,117,0.021468
36,5450,45,5405,0.991743,240,5210,0.955963,195,0.035780
37,5450,45,5405,0.991743,144,5306,0.973578,99,0.018165
37,5450,45,5405,0.991743,160,5290,0.970642,115,0.021101
37,5450,45,5405,0.991743,162,5288,0.970275,117,0.021468
37,5450,45,5405,0.991743,240,5210,0.955963,195,0.035780
38,5450,45,5405,0.991743,144,5306,0.973578,99,0.018165
38,5450,45,5405,0.991743,160,5290,0.970642,115,0.021101
38,5450,45,5405,0.991743,162,5288,0.970275,117,0.021468
38,5450,45,5405,0.991743,240,5210,0.955963,195,0.035780
39,5450,45,5405,0.991743,144,5306,0.973578,99,0.018165
39,5450,45,5405,0.991743,160,5290,0.970642,115,0.021101
39,5450,45,5405,0.991743,162,5288,0.970275,117,0.021468
39,5450,45,5405,0.991743,240,5210,0.955963,195,0.035780
40,5450,45,5405,0.991743,144,5306,0.973578,99,0.018165
40,5450,45,5405,0.991743,160,5290,0.970642,115,0.021101
40,5450,45,5405,0.991743,162,5288,0.970275,117,0.021468
40,5450,45,5405,0.991743,240,5210,0.955963,195,0.035780
41,5450,45,5405,0.991743,144,5306,0.973578,99,0.018165
41,5450,45,5405,0.991743,160,5290,0.970642,115,0.021101
41,5450,45,5405,0.991743,162,5288,0.970275,117,0.021468
41,5450,45,5405,0.991743,240,5210,0.955963,195,0.035780
42,5450,45,5405,0.991743,144,5306,0.973578,99,0.018165
42,5450,45,5405,0.991743,160,5290,0.970642,115,0.021101
42,5450,45,5405,0.991743,162,5288,0.970275,117,0.021468
42,5450,45,5405,0.991743,240,5210,0.955963,195,0.035780
43,5450,45,5405,0.991743,144,5306,0.973578,99,0.018165
43,5450,45,5405,0.991743,160,5290,0.970642,115,0.021101
43,5450,45,5405,0.991743,162,5288,0.970275,117,0.021468
43,5450,45,5405,0.991743,240,5210,0.955963,195,0.035780
44,5450,45,5405,0.991743,144,5306,0.973578,99,0.018165
44,5450,45,5405,0.991743,160,5290,0.970642,115,0.021101
44,5450,45,5405,0.991743,162,5288,0.970275,117,0.021468
44,5450,45,5405,0.991743,240,5210,0.955963,195,0.035780
45,5450,45,5405,0.991743,144,5306,0.973578,99,0.018165
45,5450,45,5405,0.991743,160,5290,0.970642,115,0.021101
45,5450,45,5405,0.991743,162,5288,0.970275,117,0.021468
45,5450,45,5405,0.991743,240,5210,0.955963,195,0.035780
