phase_idx,variant,offset,cov,phase_len,cov_ratio,rank
10,delay300,50,5400,5450,0.990826,2
10,delay300,54,5396,5450,0.990092,3
10,delay300,216,5234,5450,0.960367,4
11,delay300,45,5405,5450,0.991743,1
11,delay300,50,5400,5450,0.990826,2
11,delay300,54,5396,5450,0.990092,3
11,delay300,135,5315,5450,0.975229,4
12,delay300,45,5405,5450,0.991743,1
12,delay300,50,5400,5450,0.990826,2
12,delay300,54,5396,5450,0.990092,3
12,delay300,125,5325,5450,0.977064,4
13,delay300,45,5405,5450,0.991743,1
13,delay300,50,5400,5450,0.990826,2
13,delay300,54,5396,5450,0.990092,3
13,delay300,160,5290,5450,0.970642,4
14,delay300,45,5405,5450,0.991743,1
14,delay300,50,5400,5450,0.990826,2
14,delay300,54,5396,5450,0.990092,3
14,delay300,216,5234,5450,0.960367,4
15,delay300,45,5405,5450,0.991743,1
15,delay300,50,5400,5450,0.990826,2
15,delay300,54,5396,5450,0.990092,3
15,delay300,80,5370,5450,0.985321,4
16,delay300,45,5405,5450,0.991743,1
16,delay300,50,5400,5450,0.990826,2
16,delay300,54,5396,5450,0.990092,3
16,delay300,64,5386,5450,0.988257,4
17,delay300,45,5405,5450,0.991743,1
17,delay300,50,5400,5450,0.990826,2
17,delay300,54,5396,5450,0.990092,3
17,delay300,150,5300,5450,0.972477,4
18,delay300,45,5405,5450,0.991743,1
18,delay300,50,5400,5450,0.990826,2
18,delay300,54,5396,5450,0.990092,3
18,delay300,72,5378,5450,0.986789,4
19,delay300,45,5405,5450,0.991743,1
19,delay300,48,5402,5450,0.991193,2
19,delay300,50,5400,5450,0.990826,3
19,delay300,54,5396,5450,0.990092,4
20,delay300,45,5405,5450,0.991743,1
20,delay300,48,5402,5450,0.991193,2
20,delay300,50,5400,5450,0.990826,3
20,delay300,96,5354,5450,0.982385,4
21,delay300,45,5405,5450,0.991743,1
21,delay300,48,5402,5450,0.991193,2
21,delay300,50,5400,5450,0.990826,3
21,delay300,117,5333,5450,0.978532,4
22,delay300,45,5405,5450,0.991743,1
22,delay300,48,5402,5450,0.991193,2
22,delay300,50,5400,5450,0.990826,3
22,delay300,117,5333,5450,0.978532,4
23,delay300,45,5405,5450,0.991743,1
23,delay300,48,5402,5450,0.991193,2
23,delay300,50,5400,5450,0.990826,3
23,delay300,117,5333,5450,0.978532,4
24,delay300,45,5405,5450,0.991743,1
24,delay300,48,5402,5450,0.991193,2
24,delay300,50,5400,5450,0.990826,3
24,delay300,60,5390,5450,0.988991,4
25,delay300,45,5405,5450,0.991743,1
25,delay300,48,5402,5450,0.991193,2
25,delay300,50,5400,5450,0.990826,3
25,delay300,147,5303,5450,0.973028,4
26,delay300,45,5405,5450,0.991743,1
26,delay300,48,5402,5450,0.991193,2
26,delay300,50,5400,5450,0.990826,3
26,delay300,100,5350,5450,0.981651,4
27,delay300,45,5405,5450,0.991743,1
27,delay300,48,5402,5450,0.991193,2
27,delay300,50,5400,5450,0.990826,3
27,delay300,162,5288,5450,0.970275,4
28,delay300,45,5405,5450,0.991743,1
28,delay300,48,5402,5450,0.991193,2
28,delay300,50,5400,5450,0.990826,3
28,delay300,162,5288,5450,0.970275,4
29,delay300,45,5405,5450,0.991743,1
29,delay300,48,5402,5450,0.991193,2
29,delay300,50,5400,5450,0.990826,3
29,delay300,117,5333,5450,0.978532,4
30,delay300,45,5405,5450,0.991743,1
30,delay300,48,5402,5450,0.991193,2
30,delay300,50,5400,5450,0.990826,3
30,delay300,120,5330,5450,0.977982,4
31,delay300,45,5405,5450,0.991743,1
31,delay300,48,5402,5450,0.991193,2
31,delay300,50,5400,5450,0.990826,3
31,delay300,96,5354,5450,0.982385,4
32,delay300,45,5405,5450,0.991743,1
32,delay300,48,5402,5450,0.991193,2
32,delay300,50,5400,5450,0.990826,3
32,delay300,96,5354,5450,0.982385,4
33,delay300,45,5405,5450,0.991743,1
33,delay300,48,5402,5450,0.991193,2
33,delay300,50,5400,5450,0.990826,3
33,delay300,180,5270,5450,0.966972,4
34,delay300,45,5405,5450,0.991743,1
34,delay300,48,5402,5450,0.991193,2
34,delay300,50,5400,5450,0.990826,3
34,delay300,81,5369,5450,0.985138,4
35,delay300,45,5405,5450,0.991743,1
35,delay300,48,5402,5450,0.991193,2
35,delay300,50,5400,5450,0.990826,3
35,delay300,108,5342,5450,0.980183,4
36,delay300,45,5405,5450,0.991743,1
36,delay300,48,5402,5450,0.991193,2
36,delay300,50,5400,5450,0.990826,3
36,delay300,108,5342,5450,0.980183,4
37,delay300,45,5405,5450,0.991743,1
37,delay300,48,5402,5450,0.991193,2
37,delay300,50,5400,5450,0.990826,3
37,delay300,150,5300,5450,0.972477,4
38,delay300,45,5405,5450,0.991743,1
38,delay300,48,5402,5450,0.991193,2
38,delay300,50,5400,5450,0.990826,3
38,delay300,225,5225,5450,0.958716,4
39,delay300,45,5405,5450,0.991743,1
39,delay300,48,5402,5450,0.991193,2
39,delay300,50,5400,5450,0.990826,3
39,delay300,90,5360,5450,0.983486,4
40,delay300,45,5405,5450,0.991743,1
40,delay300,48,5402,5450,0.991193,2
40,delay300,50,5400,5450,0.990826,3
40,delay300,90,5360,5450,0.983486,4
41,delay300,45,5405,5450,0.991743,1
41,delay300,48,5402,5450,0.991193,2
41,delay300,50,5400,5450,0.990826,3
41,delay300,200,5250,5450,0.963303,4
42,delay300,45,5405,5450,0.991743,1
42,delay300,48,5402,5450,0.991193,2
42,delay300,50,5400,5450,0.990826,3
42,delay300,54,5396,5450,0.990092,4
43,delay300,45,5405,5450,0.991743,1
43,delay300,48,5402,5450,0.991193,2
43,delay300,50,5400,5450,0.990826,3
43,delay300,80,5370,5450,0.985321,4
44,delay300,45,5405,5450,0.991743,1
44,delay300,48,5402,5450,0.991193,2
44,delay300,50,5400,5450,0.990826,3
44,delay300,192,5258,5450,0.964771,4
45,delay300,45,5405,5450,0.991743,1
45,delay300,48,5402,5450,0.991193,2
45,delay300,50,5400,5450,0.990826,3
45,delay300,75,5375,5450,0.986239,4
