commit,path,add,del,arch,subsys,topdir
ee014dc7139d41bce9e6cf594c74b10af360d1ff,src/arch/amdgpu/vega/tlb.cc,5.0,8.0,amdgpu,arch,src
872b13763f839ef1a8b089faec3179ee82357130,src/cpu/o3/lsq_unit.cc,4.0,3.0,,cpu/o3,src
9080de78b022bf0a6a441a0beb4435cc60eb483f,.gitignore,2.0,0.0,,.gitignore,.gitignore
9080de78b022bf0a6a441a0beb4435cc60eb483f,src/arch/riscv/utility.hh,1.0,1.0,riscv,arch,src
9080de78b022bf0a6a441a0beb4435cc60eb483f,src/mem/cache/tags/partitioning_policies/way_pp.cc,1.0,1.0,,mem/cache,src
b60b6242605447b183093eea8095069ace86ce83,configs/example/gpufs/Disjoint_VIPER.py,10.0,1.0,,configs,configs
b60b6242605447b183093eea8095069ace86ce83,configs/example/gpufs/amd/AmdGPUOptions.py,7.0,0.0,,configs,configs
b60b6242605447b183093eea8095069ace86ce83,configs/ruby/GPU_VIPER.py,40.0,10.0,,configs,configs
de66ed91b036430f0ea2a610802b324dd4ae6eb4,src/arch/amdgpu/vega/gpu_decoder.cc,434.0,62.0,amdgpu,arch,src
de66ed91b036430f0ea2a610802b324dd4ae6eb4,src/arch/amdgpu/vega/gpu_decoder.hh,64.0,0.0,amdgpu,arch,src
de66ed91b036430f0ea2a610802b324dd4ae6eb4,src/arch/amdgpu/vega/insts/inst_util.hh,64.0,0.0,amdgpu,arch,src
de66ed91b036430f0ea2a610802b324dd4ae6eb4,src/arch/amdgpu/vega/insts/instructions.hh,431.0,0.0,amdgpu,arch,src
de66ed91b036430f0ea2a610802b324dd4ae6eb4,src/arch/amdgpu/vega/insts/vop1.cc,296.0,0.0,amdgpu,arch,src
de66ed91b036430f0ea2a610802b324dd4ae6eb4,src/arch/amdgpu/vega/insts/vop3.cc,478.0,4.0,amdgpu,arch,src
de66ed91b036430f0ea2a610802b324dd4ae6eb4,src/arch/amdgpu/vega/insts/vop3_cvt.hh,1547.0,0.0,amdgpu,arch,src
6e287f3da5398f37fec7bad139c0241d5d446440,.clang-format,93.0,0.0,,.clang-format,.clang-format
6e287f3da5398f37fec7bad139c0241d5d446440,.pre-commit-config.yaml,9.0,1.0,,.pre-commit-config.yaml,.pre-commit-config.yaml
6e287f3da5398f37fec7bad139c0241d5d446440,util/run-git-clang-format.py,365.0,0.0,,util,util
9e7d00bc25228ac618a9ffa5b28f83f87a17c0fc,util/run-git-clang-format.py,48.0,6.0,,util,util
da3597cf5dbca00e90d3ec1418793c3f3ee94207,build_tools/cxx_config_cc.py,247.0,212.0,,build_tools,build_tools
da3597cf5dbca00e90d3ec1418793c3f3ee94207,build_tools/cxx_config_hh.py,79.0,52.0,,build_tools,build_tools
da3597cf5dbca00e90d3ec1418793c3f3ee94207,build_tools/debugflagcc.py,27.0,7.0,,build_tools,build_tools
da3597cf5dbca00e90d3ec1418793c3f3ee94207,build_tools/debugflaghh.py,80.0,51.0,,build_tools,build_tools
da3597cf5dbca00e90d3ec1418793c3f3ee94207,build_tools/enum_cc.py,102.0,79.0,,build_tools,build_tools
da3597cf5dbca00e90d3ec1418793c3f3ee94207,build_tools/enum_hh.py,76.0,53.0,,build_tools,build_tools
da3597cf5dbca00e90d3ec1418793c3f3ee94207,build_tools/sim_object_param_struct_cc.py,170.0,146.0,,build_tools,build_tools
da3597cf5dbca00e90d3ec1418793c3f3ee94207,build_tools/sim_object_param_struct_hh.py,199.0,177.0,,build_tools,build_tools
8d3f84e3b48861968bfa46f676526c204a5e1bfb,src/arch/amdgpu/vega/tlb.cc,29.0,17.0,amdgpu,arch,src
8d3f84e3b48861968bfa46f676526c204a5e1bfb,src/arch/amdgpu/vega/tlb.hh,8.0,1.0,amdgpu,arch,src
bab3ceef48ad82b774c2efc995cdd9499e1fc502,ext/sst/.gitignore,6.0,0.0,,ext,ext
56aca813700a6b107f2282f15af5e4d2cad0d0e2,src/arch/amdgpu/vega/VegaGPUTLB.py,1.0,0.0,amdgpu,arch,src
56aca813700a6b107f2282f15af5e4d2cad0d0e2,src/arch/amdgpu/vega/tlb_coalescer.cc,124.0,21.0,amdgpu,arch,src
56aca813700a6b107f2282f15af5e4d2cad0d0e2,src/arch/amdgpu/vega/tlb_coalescer.hh,11.0,2.0,amdgpu,arch,src
8625ae6365598b4a10cf177b2bfc01353465b7fd,src/cpu/o3/commit.cc,6.0,6.0,,cpu/o3,src
